Date,Time,Temp,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Speed
"Monday, June 18, 2018",12:00 AM,30.0,35.0,24.0,70,1000,3.0,7.4
"Monday, June 18, 2018",12:30 AM,30.0,35.0,24.0,70,1000,3.0,7.4
"Monday, June 18, 2018",1:00 AM,30.0,35.0,24.0,70,1000,3.0,5.6
"Monday, June 18, 2018",1:30 AM,30.0,35.0,24.0,70,1000,3.0,5.6
"Monday, June 18, 2018",2:00 AM,30.0,35.0,24.0,70,1000,3.0,5.6
"Monday, June 18, 2018",2:30 AM,29,-,22,61,1000,2,5.6
"Monday, June 18, 2018",2:30 AM,30.0,35.0,24.0,70,999,3.0,5.6
"Monday, June 18, 2018",3:00 AM,30.0,35.0,24.0,70,999,3.0,5.6
"Monday, June 18, 2018",3:30 AM,30.0,31.9,20.0,55,999,3.0,5.6
"Monday, June 18, 2018",4:00 AM,30.0,31.2,19.0,51,998,3.0,Calm
"Monday, June 18, 2018",4:30 AM,30.0,31.2,19.0,51,998,3.0,Calm
"Monday, June 18, 2018",5:00 AM,30.0,30.7,18.0,48,999,3.0,Calm
"Monday, June 18, 2018",5:30 AM,29,-,22,56,999,2,7.4
"Monday, June 18, 2018",5:30 AM,30.0,31.2,19.0,51,999,3.0,7.4
"Monday, June 18, 2018",6:00 AM,30.0,31.9,20.0,55,1000,3.0,5.6
"Monday, June 18, 2018",6:30 AM,30.0,31.9,20.0,55,1000,3.0,5.6
"Monday, June 18, 2018",7:00 AM,31.0,33.0,20.0,52,1000,3.0,7.4
"Monday, June 18, 2018",8:00 AM,31.0,34.4,22.0,58,1002,3.0,18.5
"Monday, June 18, 2018",8:30 AM,31,-,26,67,1001,2,16.7
"Monday, June 18, 2018",8:30 AM,31.0,34.4,22.0,58,1002,2.5,16.7
"Monday, June 18, 2018",9:00 AM,32.0,35.6,22.0,55,1002,2.5,11.1
"Monday, June 18, 2018",9:30 AM,32.0,34.9,21.0,52,1002,2.5,13.0
"Monday, June 18, 2018",10:00 AM,33.0,36.0,21.0,49,1002,2.8,11.1
"Monday, June 18, 2018",10:30 AM,33.0,34.5,19.0,43,1002,2.8,11.1
"Monday, June 18, 2018",11:00 AM,33.0,35.2,20.0,46,1002,3.5,16.7
"Monday, June 18, 2018",11:30 AM,34,-,26,54,1001,2,18.5
"Monday, June 18, 2018",12:00 PM,35.0,36.9,19.0,39,1002,4.0,14.8
"Monday, June 18, 2018",12:30 PM,36.0,38.1,19.0,37,1002,4.0,14.8
"Monday, June 18, 2018",1:00 PM,36.0,38.8,20.0,39,1002,4.0,14.8
"Monday, June 18, 2018",1:30 PM,36.0,38.1,19.0,37,1001,4.0,14.8
"Monday, June 18, 2018",2:00 PM,36.0,38.8,20.0,39,1000,4.0,14.8
"Monday, June 18, 2018",2:30 PM,37,-,27,49,998,4,14.8
"Monday, June 18, 2018",3:00 PM,37.0,39.3,19.0,35,1000,4.0,13.0
"Monday, June 18, 2018",3:30 PM,37.0,39.3,19.0,35,1000,4.0,18.5
"Monday, June 18, 2018",4:30 PM,37.0,39.3,19.0,35,1000,4.0,14.8
"Monday, June 18, 2018",5:00 PM,37.0,40.1,20.0,37,1000,4.0,14.8
"Monday, June 18, 2018",5:30 PM,35,-,27,55,998,4,18.5
"Monday, June 18, 2018",6:00 PM,35.0,38.5,21.0,44,1000,4.0,14.8
"Monday, June 18, 2018",7:00 PM,33.0,36.0,21.0,49,1000,4.0,22.2
"Monday, June 18, 2018",8:00 PM,32.0,34.9,21.0,52,1000,4.0,13.0
"Monday, June 18, 2018",8:30 PM,32,-,25,60,999,4,11.1
"Monday, June 18, 2018",8:30 PM,32.0,34.9,21.0,52,1000,4.0,11.1
"Monday, June 18, 2018",9:00 PM,32.0,34.1,20.0,49,1000,4.0,11.1
"Monday, June 18, 2018",9:30 PM,32.0,34.1,20.0,49,1001,3.5,13.0
"Monday, June 18, 2018",10:00 PM,32.0,33.5,19.0,46,1001,3.5,13.0
"Monday, June 18, 2018",11:00 PM,31.0,33.0,20.0,52,1001,3.5,13.0
"Monday, June 18, 2018",11:30 PM,30,-,24,61,1000,2,9.3
"Monday, June 18, 2018",11:30 PM,31.0,33.0,20.0,52,1001,3.5,9.3
